;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
161;3.0;학력무관;인천광역시;3600;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);라이징크래프트;응용소프트웨어개발및공급업;중소기업;2021;;-;9
162;3.0;학력무관;충청남도;4150;기간의정함이없는근로계약;주5일근무;통근버스제공식사제공(3식)직원대출제도;삼신;특수목적용기계제조업;중소기업;1969;100,000백만원;-;180
163;4.0;학력무관;경기도;4500;기간의정함이없는근로계약;주5일근무;식사제공(1식);엔루트엠코리아;컴퓨터프로그래밍서비스업;;0;;-;5
164;3.0;대졸이상;전라남도;4000;기간의정함이없는근로계약;주5일근무;;더솔루션스;컴퓨터시스템통합자문및구축서비스업;중소기업;2011;1,400백만원;www.thesolutions.co.kr;20
165;3.0;학력무관;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;오스랩스;응용소프트웨어개발및공급업;중소기업;2013;2,000백만원;www.authlabs.co.kr;14
166;3.0;학력무관;전라남도;3750;기간의정함이없는근로계약;주5일근무;식사제공(1식);제이엠엘이디;일반용전기조명장치제조업;중소기업;2018;600백만원;-;5
167;3.0;대졸이상;경기도;4750;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(1식);이알씨;기타기계및장비제조업;중소기업;0;;www.erc.co.kr;12
168;3.0;학력무관;경기도;4250;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);다원테크;그외기타분류안된금속가공제품제조업;중소기업;2017;340백만원;www.cctvdawon.com;25
169;3.0;학력무관;서울특별시;3000;기간의정함이없는근로계약;주5일근무;식사제공(1식);씨앤앨;컴퓨터프로그래밍서비스업;중소기업;2018;6백만원;-;6
170;5.0;대졸이상;경기도;5500;기간의정함이없는근로계약;주5일근무;식사제공(1식);비앤씨텍;유선통신장비제조업;중소기업;2018;3,800백만원;www.bnctek.co.kr;24
171;3.0;대졸이상;경기도;3900;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(1식);일신이디아이;유선통신장비제조업;중소기업;1993;8,012백만원;http://www.ilshinedi.com;55
172;5.0;고졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;리치앤타임;유선온라인게임소프트웨어개발및공급업;중소기업;2002;;-;61
